epoch,lr-AdamW,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,368,,,,,,,,,,,,,,,
92,,371,,,,,,,,,,,0.6000000238418579,0.5067335367202759,2.228235960006714,0.48698827624320984,0.5845029354095459
92,,371,,,,,,1.0,1.0,0.6843940615653992,1.0,1.0,,,,,
,0.001,372,,,,,,,,,,,,,,,
93,,375,,,,,,,,,,,0.6333333253860474,0.5076795816421509,2.1729979515075684,0.5128306746482849,0.5550264716148376
93,,375,,,,,,1.0,1.0,0.6871764063835144,1.0,1.0,,,,,
,0.001,376,,,,,,,,,,,,,,,
94,,379,,,,,,,,,,,0.6000000238418579,0.5539766550064087,2.013054370880127,0.5548245906829834,0.5929824709892273
94,,379,,,,,,1.0,1.0,0.686583936214447,1.0,1.0,,,,,
,0.001,380,,,,,,,,,,,,,,,
95,,383,,,,,,,,,,,0.5666666626930237,0.4982539713382721,2.0491859912872314,0.4954678416252136,0.5421053171157837
95,,383,,,,,,1.0,1.0,0.6942926049232483,1.0,1.0,,,,,
,0.001,384,,,,,,,,,,,,,,,
96,,387,,,,,,,,,,,0.6000000238418579,0.4895079731941223,2.1978037357330322,0.4965277910232544,0.532777726650238
96,,387,,,,,,1.0,1.0,0.686769425868988,1.0,1.0,,,,,
,0.001,388,,,,,,,,,,,,,,,
97,,391,,,,,,,,,,,0.6333333253860474,0.507805585861206,2.099625825881958,0.49330559372901917,0.573055624961853
97,,391,,,,,,1.0,1.0,0.6850077509880066,1.0,1.0,,,,,
,0.001,392,,,,,,,,,,,,,,,
98,,395,,,,,,,,,,,0.6333333253860474,0.48521167039871216,2.058431625366211,0.4714021384716034,0.547354519367218
98,,395,,,,,,1.0,1.0,0.6864103674888611,1.0,1.0,,,,,
,0.001,396,,,,,,,,,,,,,,,
99,,399,,,,,,,,,,,0.6000000238418579,0.5135170817375183,2.013023853302002,0.520906388759613,0.5590643286705017
99,,399,,,,,,1.0,1.0,0.6712452173233032,1.0,1.0,,,,,
,0.001,400,,,,,,,,,,,,,,,
100,,403,,,,,,,,,,,0.5666666626930237,0.4897744059562683,2.0248608589172363,0.49546781182289124,0.5421053171157837
100,,403,,,,,,1.0,1.0,0.6890933513641357,1.0,1.0,,,,,
,0.001,404,,,,,,,,,,,,,,,
101,,407,,,,,,,,,,,0.6333333253860474,0.5576106905937195,1.9893243312835693,0.56330406665802,0.6099414825439453
101,,407,,,,,,1.0,1.0,0.6801634430885315,1.0,1.0,,,,,
,0.001,408,,,,,,,,,,,,,,,
102,,411,,,,,,,,,,,0.5666666626930237,0.49461987614631653,2.0068564414978027,0.47850877046585083,0.5675439238548279
102,,411,,,,,,1.0,1.0,0.6774252653121948,1.0,1.0,,,,,
,0.001,412,,,,,,,,,,,,,,,
103,,415,,,,,,,,,,,0.6333333253860474,0.524492084980011,2.024672746658325,0.5166666507720947,0.5730555653572083
103,,415,,,,,,1.0,1.0,0.6767489314079285,1.0,1.0,,,,,
,0.001,416,,,,,,,,,,,,,,,
104,,419,,,,,,,,,,,0.6333333253860474,0.5102222561836243,1.9887334108352661,0.4965277910232544,0.573055624961853
104,,419,,,,,,1.0,1.0,0.6800788640975952,1.0,1.0,,,,,
,0.001,420,,,,,,,,,,,,,,,
